-265.56,31.4,-7276.08,-666,234,-14760,98.85,-271.61,2.79
-82.56,362.4,-6865.08,86,262,-14680,114.33,-265.75,1.87
-76.56,214.4,-9330.08,-244,360,-14482,132.55,-256,2.79
-99.56,240.4,-7791.08,42,156,-14624,146.21,-249.18,0.96
-118.56,329.4,-13531.08,214,170,-14784,165.34,-231.62,0.05
57.44,457.4,-10920.08,-314,-8,-14606,182.64,-216.02,0.96
-228.56,163.4,-11492.08,-60,238,-14348,200.86,-199.44,-1.77
51.44,193.4,-10401.08,150,424,-14704,215.43,-183.84,-2.68
127.44,272.4,-9823.08,-16,284,-14404,228.18,-164.33,-2.68
-97.56,197.4,-11152.08,-228,412,-14744,241.84,-143.85,-2.68
-16.56,-47.6,-11003.08,-74,640,-14846,253.68,-120.45,-3.59
-53.56,197.4,-9215.08,-292,424,-14530,262.79,-97.04,-4.5
484.44,228.4,-7591.08,348,190,-14700,269.17,-81.44,-5.41
28.44,22.4,-3111.08,630,68,-14568,271.9,-67.79,-4.5
100.44,58.4,-2172.08,-296,948,-14602,272.81,-62.91,-5.41
394.44,358.4,-35.08,78,-16,-14656,272.81,-61.94,-4.5
238.44,132.4,-76.08,178,-176,-14718,271.9,-59.99,-3.59
565.44,-223.6,30.92,-134,-114,-14508,272.81,-59.01,-2.68
986.44,-474.6,87.92,-302,-144,-14510,273.72,-59.01,-4.5
224.44,-185.6,1974.92,-956,-196,-14524,274.63,-59.99,-5.41
47.44,-37.6,13.92,54,-126,-14622,274.63,-60.96,-4.5
1053.44,119.4,-0.08,66,-184,-14644,273.72,-58.04,-3.59
618.44,-30.6,-6.08,72,-460,-14528,274.63,-57.06,-4.5
-302.56,-974.6,198.92,-762,-718,-15696,274.63,-57.06,-3.59
-921.56,-349.6,15.92,-496,-182,-14522,275.54,-58.04,-4.5
1431.44,-131.6,-6180.08,1360,1286,-15308,276.45,-54.14,-5.41
261.44,-207.6,-2310.08,300,14,-14560,277.36,-47.31,-6.32
1090.44,171.4,-3208.08,-714,-1300,-14326,278.28,-43.41,-7.23
3453.44,300.4,-10108.08,-118,1294,-15514,279.19,-25.85,-7.23
247.44,-434.6,-12330.08,102,-2224,-13780,281.01,19,-6.32
-128.56,-945.6,-12937.08,-290,-1814,-14558,281.01,49.24,-8.14
-3734.56,-1029.6,-12063.08,672,-1274,-14768,280.1,67.76,-9.97
-4794.56,-709.6,-11041.08,-1060,-74,-14622,276.45,80.44,-10.88
-1756.56,-251.6,-11394.08,-408,434,-14946,270.99,95.07,-10.88
285.44,-1892.6,-5140.08,-3196,1886,-14110,268.26,117.5,-11.79
1162.44,-901.6,6814.92,2930,86,-14018,271.9,114.57,-13.61
-813.56,909.4,9125.92,238,1040,-14978,277.36,98.97,-13.61
